USER_NO,CLV,frequency,recency,T,monetary_value,exp_avg_rev,avg_rev,error_rev
0009b59fe301ca6e20c8dfcf99bfa5ef64f459c9459da2e3528666966253961c,161748.17,4.0,112.0,121.0,19844.25,22204.177449713454,19844.25,2359.927449713454
000b230e3be3249825fa000662ea1ed0a8cd2fd3926ea2b3f8ad57c9a6f6819b,250.15,4.0,84.0,266.0,472.725,818.7558630792038,472.725,346.03086307920375
000d6b397d60ccbef42cbf586915d63f91876afb4d328704310ba234acc1c5bd,234528.57,158.0,268.0,268.0,1485.8618307665733,1496.2372809964063,1485.8618307665733,10.37545022983295
000d900997e49246bd56e45f397162058ec5a5e9f33d35497647408a8e514a2a,11577.21,9.0,177.0,189.0,858.5066666666667,1020.7525270457587,858.5066666666667,162.24586037909205
00196221a320987af6460fd512556b17879d248770b5d06f84d18b44a8c8061f,0.62,4.0,58.0,644.0,462.34000000000003,807.2912208697135,462.34000000000003,344.95122086971344
001bd32c7eb0ab96934f80544715902d985e85d85d190653414b18f2e8e53faa,317.14,4.0,85.0,220.0,105.99,413.8944706191723,105.99,307.9044706191723
002218aa3f356b5329d8fc2ff7b023b1a1c24d22bd5959e219419f7a942773de,3172.4,1.0,22.0,79.0,15.0,1749.8555614258378,15.0,1734.8555614258378
002435100fa7b8d415dcc086fd9faca98fd9f28a37fd3aa4c59841b9cc727183,1127.33,2.0,438.0,579.0,417.4714285714286,1177.0072797865798,417.4714285714286,759.5358512151513
0024e26267c13401e5db68dda0960e93083d4acce8457917eda7179219cf0416,61195.31,25.0,128.0,152.0,4122.947202215318,4229.706416726364,4122.947202215318,106.7592145110466
0029c09038b9a9eaa724d51144939a84939f0581f2eab5b4995de7796b0d26b3,281.26,6.0,362.0,643.0,154.10011126386405,355.7173411425405,154.10011126386405,201.61722987867643
002d1f3d1c37796fc1321c2c37792c6dc7192438546af893da81ca13a1d3f8d4,134.4,7.0,246.0,611.0,1622.8885714285716,1877.599258327093,1622.8885714285716,254.71068689852132
002d49017c74c9ed712b83cb5bfd05d253277ec4389819f438f89074690629e4,42.63,1.0,6.0,566.0,795.2,3001.5518968540846,795.2,2206.3518968540848
002ebcf578572aad1bedab0482f145427e58bca38283b878f5484cc391012e90,12943.53,41.0,126.0,131.0,168.9707987268895,197.01771263110368,168.9707987268895,28.046913904214165
0031196bb8bf98c0ccdef13abf219686f1d6a28fadb6971db26f5105f87ec146,0.0,15.0,96.0,488.0,2834.909414146801,2981.4958862024887,2834.909414146801,146.58647205568786
0034ead91bf58b4fe957c0ac869e868990bd4c82347934d6387782c8ea9f2408,1229.9,2.0,179.0,520.0,1502.93,2514.343729906185,1502.93,1011.4137299061852
00354c7a32334feca315f7f5da985931b92c55cda2c312d7933eb60fd4d748ac,484.16,1.0,1.0,71.0,8.0,1738.6252687470403,8.0,1730.6252687470403
0039fda8ad4e29d96fa9023af5329ea19899d7097ec75e92d39a1b8d5b8fbede,2.73,3.0,58.0,683.0,217.13333333333333,658.3693757384002,217.13333333333333,441.2360424050669
003ba85247892752b2b44414e0db87ba7c07d95316b1a0fe585ed80b6ae2d0e0,16560.44,16.0,171.0,177.0,687.74125,773.1758823225948,687.74125,85.43463232259478
0040e4c058c32764195a899029903ad1b3079c4c5d776878b681ae5e7f757076,1100.03,1.0,61.0,488.0,2246.0,5329.110270911122,2246.0,3083.110270911122
